timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 19:04:28.754,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,61.83
2026/03/25 19:04:58.800,0,NVIDIA GeForce RTX 4090,73,51,2520,24564,46,349.78
2026/03/25 19:04:58.809,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,61.20
2026/03/25 19:05:28.863,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,67.60
2026/03/25 19:05:28.869,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,60.51
2026/03/25 19:05:58.913,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,115.18
2026/03/25 19:05:58.917,1,NVIDIA GeForce RTX 4080,83,61,14149,16376,54,269.57
2026/03/25 19:06:28.963,0,NVIDIA GeForce RTX 4090,73,50,2520,24564,45,326.67
2026/03/25 19:06:28.973,1,NVIDIA GeForce RTX 4080,48,32,14149,16376,47,190.86
2026/03/25 19:06:59.025,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,113.27
2026/03/25 19:06:59.030,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,57.03
2026/03/25 19:07:29.085,0,NVIDIA GeForce RTX 4090,7,5,2520,24564,38,83.71
2026/03/25 19:07:29.093,1,NVIDIA GeForce RTX 4080,5,3,14149,16376,40,56.87
2026/03/25 19:07:59.143,0,NVIDIA GeForce RTX 4090,73,51,2520,24564,46,316.46
2026/03/25 19:07:59.151,1,NVIDIA GeForce RTX 4080,86,59,14149,16376,53,272.79
2026/03/25 19:08:29.208,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,66.13
2026/03/25 19:08:29.214,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,40,59.97
2026/03/25 19:08:59.265,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,202.43
2026/03/25 19:08:59.270,1,NVIDIA GeForce RTX 4080,83,61,14149,16376,54,266.75
2026/03/25 19:09:29.324,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,66.72
2026/03/25 19:09:29.329,1,NVIDIA GeForce RTX 4080,78,57,14149,16376,51,107.38
