nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 101 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1115 | V-Loss: 0.1110 | T-P@R0.9: 0.4316 | V-P@R0.9: 0.4352
Epoch 102 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1112 | V-Loss: 0.1107 | T-P@R0.9: 0.4343 | V-P@R0.9: 0.4376
Epoch 103 | Time: 114.2s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1103 | T-P@R0.9: 0.4355 | V-P@R0.9: 0.4374
Epoch 104 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1102 | T-P@R0.9: 0.4353 | V-P@R0.9: 0.4379
Epoch 105 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1103 | T-P@R0.9: 0.4353 | V-P@R0.9: 0.4386
Epoch 106 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1117 | V-Loss: 0.1112 | T-P@R0.9: 0.4367 | V-P@R0.9: 0.4388
Epoch 107 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1102 | T-P@R0.9: 0.4347 | V-P@R0.9: 0.4382
Epoch 108 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1109 | V-Loss: 0.1104 | T-P@R0.9: 0.4351 | V-P@R0.9: 0.4374
Epoch 109 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1102 | T-P@R0.9: 0.4354 | V-P@R0.9: 0.4387
Epoch 110 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1103 | T-P@R0.9: 0.4361 | V-P@R0.9: 0.4392
Epoch 111 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1103 | T-P@R0.9: 0.4364 | V-P@R0.9: 0.4394
Epoch 112 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1108 | V-Loss: 0.1103 | T-P@R0.9: 0.4366 | V-P@R0.9: 0.4390
Epoch 113 | Time: 113.8s | LR: 2.00e-04 | T-Loss: 0.1109 | V-Loss: 0.1104 | T-P@R0.9: 0.4361 | V-P@R0.9: 0.4390
Epoch 114 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1104 | V-Loss: 0.1100 | T-P@R0.9: 0.4376 | V-P@R0.9: 0.4392
Epoch 115 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1105 | V-Loss: 0.1101 | T-P@R0.9: 0.4361 | V-P@R0.9: 0.4383
Epoch 116 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1104 | V-Loss: 0.1099 | T-P@R0.9: 0.4368 | V-P@R0.9: 0.4391
Epoch 117 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1106 | V-Loss: 0.1101 | T-P@R0.9: 0.4353 | V-P@R0.9: 0.4384
Epoch 118 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1103 | T-P@R0.9: 0.4365 | V-P@R0.9: 0.4376
Epoch 119 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1103 | V-Loss: 0.1098 | T-P@R0.9: 0.4383 | V-P@R0.9: 0.4405
Epoch 120 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1102 | T-P@R0.9: 0.4384 | V-P@R0.9: 0.4403
