Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0083 | Time: 47.6s | T-Loss: 0.0661 | V-Loss: 0.0619 | T-Prec: 0.8964 | V-Prec: 0.8706 | T-Rec: 0.7828 | V-Rec: 0.7402 | T-P@R0.9: 0.7278 | V-P@R0.9: 0.5879
Epoch 0084 | Time: 49.7s | T-Loss: 0.0648 | V-Loss: 0.0620 | T-Prec: 0.8868 | V-Prec: 0.8612 | T-Rec: 0.7942 | V-Rec: 0.7563 | T-P@R0.9: 0.6991 | V-P@R0.9: 0.5775
Epoch 0085 | Time: 48.3s | T-Loss: 0.0625 | V-Loss: 0.0625 | T-Prec: 0.8885 | V-Prec: 0.8605 | T-Rec: 0.8032 | V-Rec: 0.7557 | T-P@R0.9: 0.7241 | V-P@R0.9: 0.5717
Epoch 0086 | Time: 46.1s | T-Loss: 0.0639 | V-Loss: 0.0624 | T-Prec: 0.8826 | V-Prec: 0.8524 | T-Rec: 0.8031 | V-Rec: 0.7641 | T-P@R0.9: 0.7222 | V-P@R0.9: 0.5814
Epoch 0087 | Time: 46.6s | T-Loss: 0.0659 | V-Loss: 0.0618 | T-Prec: 0.8896 | V-Prec: 0.8659 | T-Rec: 0.8009 | V-Rec: 0.7533 | T-P@R0.9: 0.7280 | V-P@R0.9: 0.5766
Epoch 0088 | Time: 46.4s | T-Loss: 0.0652 | V-Loss: 0.0613 | T-Prec: 0.8857 | V-Prec: 0.8606 | T-Rec: 0.8014 | V-Rec: 0.7594 | T-P@R0.9: 0.7237 | V-P@R0.9: 0.5850
Epoch 0089 | Time: 45.6s | T-Loss: 0.0673 | V-Loss: 0.0616 | T-Prec: 0.8822 | V-Prec: 0.8541 | T-Rec: 0.8014 | V-Rec: 0.7654 | T-P@R0.9: 0.7230 | V-P@R0.9: 0.5915
Epoch 0090 | Time: 45.4s | T-Loss: 0.0622 | V-Loss: 0.0614 | T-Prec: 0.8865 | V-Prec: 0.8640 | T-Rec: 0.7916 | V-Rec: 0.7541 | T-P@R0.9: 0.7069 | V-P@R0.9: 0.5864
Epoch 0091 | Time: 48.1s | T-Loss: 0.0651 | V-Loss: 0.0619 | T-Prec: 0.8856 | V-Prec: 0.8554 | T-Rec: 0.8054 | V-Rec: 0.7638 | T-P@R0.9: 0.7274 | V-P@R0.9: 0.5803
Epoch 0092 | Time: 49.0s | T-Loss: 0.0663 | V-Loss: 0.0613 | T-Prec: 0.8897 | V-Prec: 0.8621 | T-Rec: 0.7925 | V-Rec: 0.7558 | T-P@R0.9: 0.7228 | V-P@R0.9: 0.5920
Epoch 0093 | Time: 48.3s | T-Loss: 0.0644 | V-Loss: 0.0620 | T-Prec: 0.8674 | V-Prec: 0.8391 | T-Rec: 0.8190 | V-Rec: 0.7835 | T-P@R0.9: 0.7236 | V-P@R0.9: 0.5944
Epoch 0094 | Time: 45.9s | T-Loss: 0.0629 | V-Loss: 0.0613 | T-Prec: 0.8826 | V-Prec: 0.8559 | T-Rec: 0.8013 | V-Rec: 0.7654 | T-P@R0.9: 0.7179 | V-P@R0.9: 0.5899
Epoch 0095 | Time: 46.4s | T-Loss: 0.0636 | V-Loss: 0.0610 | T-Prec: 0.8937 | V-Prec: 0.8696 | T-Rec: 0.7911 | V-Rec: 0.7489 | T-P@R0.9: 0.7242 | V-P@R0.9: 0.5951
Epoch 0096 | Time: 51.6s | T-Loss: 0.0649 | V-Loss: 0.0621 | T-Prec: 0.8738 | V-Prec: 0.8434 | T-Rec: 0.8187 | V-Rec: 0.7743 | T-P@R0.9: 0.7322 | V-P@R0.9: 0.5862
Epoch 0097 | Time: 44.4s | T-Loss: 0.0631 | V-Loss: 0.0616 | T-Prec: 0.8710 | V-Prec: 0.8436 | T-Rec: 0.8138 | V-Rec: 0.7803 | T-P@R0.9: 0.7207 | V-P@R0.9: 0.5981
Epoch 0098 | Time: 46.4s | T-Loss: 0.0640 | V-Loss: 0.0603 | T-Prec: 0.8929 | V-Prec: 0.8688 | T-Rec: 0.7861 | V-Rec: 0.7535 | T-P@R0.9: 0.7114 | V-P@R0.9: 0.5989
Epoch 0099 | Time: 46.8s | T-Loss: 0.0648 | V-Loss: 0.0615 | T-Prec: 0.8709 | V-Prec: 0.8447 | T-Rec: 0.8141 | V-Rec: 0.7809 | T-P@R0.9: 0.7180 | V-P@R0.9: 0.5989
Epoch 0100 | Time: 48.4s | T-Loss: 0.0625 | V-Loss: 0.0607 | T-Prec: 0.8918 | V-Prec: 0.8670 | T-Rec: 0.7920 | V-Rec: 0.7554 | T-P@R0.9: 0.7230 | V-P@R0.9: 0.5965
Epoch 0101 | Time: 50.2s | T-Loss: 0.0632 | V-Loss: 0.0619 | T-Prec: 0.8776 | V-Prec: 0.8441 | T-Rec: 0.8186 | V-Rec: 0.7781 | T-P@R0.9: 0.7340 | V-P@R0.9: 0.5905
Epoch 0102 | Time: 48.0s | T-Loss: 0.0631 | V-Loss: 0.0616 | T-Prec: 0.8863 | V-Prec: 0.8564 | T-Rec: 0.8107 | V-Rec: 0.7647 | T-P@R0.9: 0.7474 | V-P@R0.9: 0.5891
Epoch 0103 | Time: 46.7s | T-Loss: 0.0643 | V-Loss: 0.0608 | T-Prec: 0.8858 | V-Prec: 0.8642 | T-Rec: 0.7951 | V-Rec: 0.7613 | T-P@R0.9: 0.7127 | V-P@R0.9: 0.5981
Epoch 0104 | Time: 48.5s | T-Loss: 0.0629 | V-Loss: 0.0602 | T-Prec: 0.8831 | V-Prec: 0.8558 | T-Rec: 0.8054 | V-Rec: 0.7732 | T-P@R0.9: 0.7225 | V-P@R0.9: 0.6053
Epoch 0105 | Time: 50.7s | T-Loss: 0.0617 | V-Loss: 0.0610 | T-Prec: 0.8905 | V-Prec: 0.8618 | T-Rec: 0.8010 | V-Rec: 0.7630 | T-P@R0.9: 0.7238 | V-P@R0.9: 0.5906
Epoch 0106 | Time: 47.6s | T-Loss: 0.0630 | V-Loss: 0.0602 | T-Prec: 0.8866 | V-Prec: 0.8631 | T-Rec: 0.7995 | V-Rec: 0.7631 | T-P@R0.9: 0.7282 | V-P@R0.9: 0.6097
Epoch 0107 | Time: 47.7s | T-Loss: 0.0624 | V-Loss: 0.0603 | T-Prec: 0.8932 | V-Prec: 0.8724 | T-Rec: 0.7898 | V-Rec: 0.7526 | T-P@R0.9: 0.7173 | V-P@R0.9: 0.6001
Epoch 0108 | Time: 48.9s | T-Loss: 0.0634 | V-Loss: 0.0603 | T-Prec: 0.8840 | V-Prec: 0.8554 | T-Rec: 0.8080 | V-Rec: 0.7730 | T-P@R0.9: 0.7275 | V-P@R0.9: 0.6046
