nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 252 | T-Loss: 0.1168 | V-Loss: 0.1174 | V-P@R0.9: 0.3856
Epoch 253 | T-Loss: 0.1165 | V-Loss: 0.1171 | V-P@R0.9: 0.3845
Epoch 254 | T-Loss: 0.1167 | V-Loss: 0.1174 | V-P@R0.9: 0.3858
Epoch 255 | T-Loss: 0.1167 | V-Loss: 0.1173 | V-P@R0.9: 0.3854
Epoch 256 | T-Loss: 0.1173 | V-Loss: 0.1180 | V-P@R0.9: 0.3860
Epoch 257 | T-Loss: 0.1166 | V-Loss: 0.1172 | V-P@R0.9: 0.3849
Epoch 258 | T-Loss: 0.1169 | V-Loss: 0.1176 | V-P@R0.9: 0.3831
Epoch 259 | T-Loss: 0.1166 | V-Loss: 0.1174 | V-P@R0.9: 0.3846
Epoch 260 | T-Loss: 0.1167 | V-Loss: 0.1173 | V-P@R0.9: 0.3845
Epoch 261 | T-Loss: 0.1174 | V-Loss: 0.1182 | V-P@R0.9: 0.3857
Epoch 262 | T-Loss: 0.1164 | V-Loss: 0.1171 | V-P@R0.9: 0.3853
Epoch 263 | T-Loss: 0.1168 | V-Loss: 0.1175 | V-P@R0.9: 0.3847
Epoch 264 | T-Loss: 0.1164 | V-Loss: 0.1171 | V-P@R0.9: 0.3868
Epoch 265 | T-Loss: 0.1163 | V-Loss: 0.1170 | V-P@R0.9: 0.3866
Epoch 266 | T-Loss: 0.1165 | V-Loss: 0.1172 | V-P@R0.9: 0.3859
Epoch 267 | T-Loss: 0.1165 | V-Loss: 0.1173 | V-P@R0.9: 0.3850
Epoch 268 | T-Loss: 0.1166 | V-Loss: 0.1174 | V-P@R0.9: 0.3841
Epoch 269 | T-Loss: 0.1161 | V-Loss: 0.1169 | V-P@R0.9: 0.3870
Epoch 270 | T-Loss: 0.1162 | V-Loss: 0.1169 | V-P@R0.9: 0.3869
Epoch 271 | T-Loss: 0.1161 | V-Loss: 0.1169 | V-P@R0.9: 0.3860
Epoch 272 | T-Loss: 0.1163 | V-Loss: 0.1171 | V-P@R0.9: 0.3863
Epoch 273 | T-Loss: 0.1164 | V-Loss: 0.1172 | V-P@R0.9: 0.3856
Epoch 274 | T-Loss: 0.1167 | V-Loss: 0.1174 | V-P@R0.9: 0.3832
Epoch 275 | T-Loss: 0.1161 | V-Loss: 0.1169 | V-P@R0.9: 0.3870
Epoch 276 | T-Loss: 0.1166 | V-Loss: 0.1174 | V-P@R0.9: 0.3854
Epoch 277 | T-Loss: 0.1164 | V-Loss: 0.1172 | V-P@R0.9: 0.3871
Epoch 278 | T-Loss: 0.1159 | V-Loss: 0.1168 | V-P@R0.9: 0.3865
Epoch 279 | T-Loss: 0.1169 | V-Loss: 0.1177 | V-P@R0.9: 0.3862
Epoch 280 | T-Loss: 0.1162 | V-Loss: 0.1169 | V-P@R0.9: 0.3874
